cycle,state,candidate_name,poll_pct,result_pct,bias,party,Electors
2012,Massachusetts,Barack Obama,56.903685,60.33830832021647,3.434623320216467,DEM,11
2016,Maryland,Hillary Rodham Clinton,60.06792,60.32574423519277,0.2578242351927713,DEM,10
2008,Alabama,John McCain,58.275652,60.31691302917061,2.041261029170606,REP,9
2012,California,Barack Obama,54.984122,60.23895914168964,5.2548371416896416,DEM,55
2008,New York,Barack Obama,61.542619,60.12882829521261,-1.4137907047873952,DEM,29
2016,Massachusetts,Hillary Rodham Clinton,55.85173,60.00506459158761,4.153334591587608,DEM,11
2004,Indiana,George W. Bush,57.381911,59.94476503665717,2.562854036657164,REP,11
2004,South Dakota,George W. Bush,54.392721,59.91113171824891,5.518410718248909,REP,3
2012,Nebraska,Mitt Romney,57.07361,59.80319217904804,2.7295821790480375,REP,5
2012,Kansas,Mitt Romney,58.037438,59.711320369216125,1.6738823692161233,REP,6
2004,Kentucky,George W. Bush,57.327184,59.54951383220055,2.2223298322005505,REP,8
2012,Tennessee,Mitt Romney,54.678193,59.47871471993759,4.800521719937592,REP,11
2004,Mississippi,George W. Bush,54.680803,59.45267305764466,4.771870057644662,REP,6
2008,Alaska,John McCain,55.652889,59.42451953880631,3.7716305388063063,REP,3
2004,Rhode Island,John Kerry,55.526681,59.42342622628301,3.8967452262830093,DEM,4
2020,Rhode Island,Joseph R. Biden Jr.,62.92922,59.388091,-3.541128999999998,DEM,4
2020,Connecticut,Joseph R. Biden Jr.,58.62337,59.261446,0.6380759999999981,DEM,7
2016,Idaho,Donald Trump,46.18095,59.26143236919689,13.080482369196886,REP,4
2004,Montana,George W. Bush,56.512588,59.06670070707855,2.554112707078552,REP,3
2004,Vermont,John Kerry,51.632978,58.93746257712714,7.304484577127141,DEM,3
2016,Nebraska,Donald Trump,51.95408,58.74735112712576,6.793271127125763,REP,5
2020,Delaware,Joseph R. Biden Jr.,58.8553,58.745452,-0.1098479999999995,DEM,3
2008,Arkansas,John McCain,51.884696,58.71590449992959,6.831208499929595,REP,6
2008,Louisiana,John McCain,52.116775,58.56272131075638,6.4459463107563835,REP,8
2020,Louisiana,Donald Trump,57.63751,58.460882,0.8233719999999991,REP,8
2012,New Jersey,Barack Obama,52.493629,58.3423549106376,5.848725910637604,DEM,14
2012,North Dakota,Mitt Romney,55.03911,58.31568255855723,3.276572558557227,REP,3
2020,Nebraska,Donald Trump,52.14922,58.224163,6.0749429999999975,REP,5
2020,Utah,Donald Trump,51.91983,58.129839,6.210009,REP,6
2016,Louisiana,Donald Trump,50.62847,58.0886846535688,7.460214653568798,REP,8
2012,Connecticut,Barack Obama,53.866921,58.05684558936727,4.189924589367273,DEM,7
2004,South Carolina,George W. Bush,54.931063,57.98087443516532,3.049811435165317,REP,9
2004,Georgia,George W. Bush,54.195597,57.974756766988456,3.7791597669884567,REP,16
2020,Washington,Joseph R. Biden Jr.,59.39408,57.970301,-1.4237790000000032,DEM,12
2016,Mississippi,Donald Trump,49.88152,57.94103808883564,8.059518088835638,REP,6
2012,South Dakota,Mitt Romney,53.23458,57.88931187554114,4.654731875541138,REP,3
2012,Louisiana,Mitt Romney,55.727056,57.78457572847425,2.0575197284742544,REP,8
2008,Maine,Barack Obama,55.260722,57.705737297975965,2.4450152979759636,DEM,4
2008,Washington,Barack Obama,53.844297,57.65289221364836,3.80859521364836,DEM,12
2020,Mississippi,Donald Trump,55.54909,57.602955,2.053865000000002,REP,6
2012,Illinois,Barack Obama,55.887743,57.60213536247709,1.714392362477092,DEM,20
2020,Illinois,Joseph R. Biden Jr.,55.02048,57.541636,2.5211559999999977,DEM,20
2008,Michigan,Barack Obama,53.619838,57.431295266511874,3.811457266511873,DEM,16
2008,Kentucky,John McCain,53.683742,57.39902114287592,3.7152791428759144,REP,8
2020,New Jersey,Joseph R. Biden Jr.,58.36068,57.334197,-1.026482999999999,DEM,14
2008,New Jersey,Barack Obama,54.851046,57.27213715188599,2.421091151885996,DEM,14
2012,Texas,Mitt Romney,57.953069,57.16697746805639,-0.7860915319436117,REP,38
2020,Indiana,Donald Trump,52.85299,57.021101,4.168111000000003,REP,11
2016,Indiana,Donald Trump,50.31756,56.94003344841128,6.622473448411277,REP,11
2020,Montana,Donald Trump,49.78661,56.918658,7.1320479999999975,REP,3
2008,New Mexico,Barack Obama,53.583514,56.90748026279336,3.3239662627933555,DEM,5
2008,Tennessee,John McCain,54.134014,56.89695428289423,2.7629402828942276,REP,11
2020,Missouri,Donald Trump,51.6131,56.799656,5.186555999999996,REP,10
2004,Tennessee,George W. Bush,54.50578,56.79908949136325,2.293309491363246,REP,11
2016,Missouri,Donald Trump,50.14576,56.77240847937871,6.626648479378709,REP,10
2008,Oregon,Barack Obama,54.903319,56.748806256920645,1.8454872569206415,DEM,7
2016,New York,Hillary Rodham Clinton,54.17264,56.722342284541526,2.5497022845415245,DEM,29
2004,Louisiana,George W. Bush,52.31806,56.72202134108999,4.403961341089989,REP,8
2016,Vermont,Hillary Rodham Clinton,55.3406,56.67778599472493,1.3371859947249263,DEM,3
2016,Kansas,Donald Trump,50.57084,56.65458180583958,6.08374180583958,REP,6
2008,Kansas,John McCain,55.264741,56.61225434349189,1.3475133434918902,REP,6
2008,Nebraska,John McCain,55.735464,56.53185336979162,0.7963893697916191,REP,5
